id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15919108,A slice of heaven,1239904,Julia,,Pittwater,-33.63551522955124,151.31901973784667,Entire home/apt,551,5,0,,,1,349
4582454,Amazing Views Newport,23597108,Helen,,Pittwater,-33.66105115129646,151.32141971995495,Shared room,130,1,0,,,2,0
10812656,Relax on the  decks and enjoy the view,55982618,Joy,,Pittwater,-33.65092176716292,151.31722070789738,Entire home/apt,325,3,2,2017-01-05,0.60,1,77
7795040,Bliss Apartment at Newport,22179603,Natalie,,Pittwater,-33.650352409483546,151.3214692770272,Entire home/apt,200,2,4,2017-02-11,1.56,1,93
9610800,THE CABANA HOUSE AVALON,11561520,Veronika,,Pittwater,-33.63364627908022,151.31918352365778,Entire home/apt,551,2,16,2017-03-12,1.04,1,130
4041037,Stunning beachfront cottage Avalon,18061942,Lyndee,,Pittwater,-33.63287189258234,151.33753250111153,Entire home/apt,451,2,24,2017-03-25,1.78,1,351
7076226,Newport Beach House - walk to beach,20582809,Megan,,Pittwater,-33.65106786390465,151.3163836172028,Entire home/apt,713,5,1,2016-01-25,0.07,19,0
17480992,The Bilgola Mission.,691586,Tarsha,,Pittwater,-33.64458702745782,151.32400952647865,Entire home/apt,399,2,0,,,2,178
9038152,The Pittwater Log Cabin,12525064,Sally,,Pittwater,-33.63095454516237,151.31629886868566,Entire home/apt,1150,6,0,,,2,0
9224012,Christmas in Avalon Beach,47959506,Hayley,,Pittwater,-33.619341169799576,151.33346368862507,Entire home/apt,219,7,0,,,1,0
12175980,Beach style family home,65419686,Kerry,,Pittwater,-33.648717499509644,151.31353907529524,Entire home/apt,255,14,0,,,1,0
3994283,Spacious 1 Bedroom Beach Apartment ,20630511,Alex,,Pittwater,-33.65725588288355,151.31830596102634,Entire home/apt,120,3,0,,,1,0
4868526,North Avalon Beach Cottage,25043085,Kane,,Pittwater,-33.62179650827242,151.3387428554835,Entire home/apt,290,3,10,2017-01-28,0.36,1,357
15515643,OCEAN VIEWS - AVAILABLE OVER XMAS,98309015,Martin,,Pittwater,-33.64098194077155,151.313188272061,Entire home/apt,349,7,1,2017-01-04,0.33,1,90
6928748,Avalon Beach Seaside cottage,14989204,Karena,,Pittwater,-33.630965987742925,151.33149912531752,Entire home/apt,200,2,13,2017-02-17,0.66,2,350
15059917,Bayside,30021442,Northern Beaches Holidays,,Pittwater,-33.62135622046599,151.3188236225593,Entire home/apt,850,7,0,,,34,364
12766826,Spacious Avalon Beach family house,15581699,Maryellen,,Pittwater,-33.63108316390753,151.32631844668714,Entire home/apt,171,5,0,,,1,0
16216438,Newport Retreat - secluded beach house with pool,20582809,Megan,,Pittwater,-33.65380700938703,151.31125791858258,Entire home/apt,713,7,1,2017-01-03,0.32,19,59
17560991,Architecturally Designed Palm Tops,119204463,Matt & Naomi,,Pittwater,-33.625886467071204,151.34032482285232,Entire home/apt,1000,4,0,,,1,56
1764733,Beach House Sanctuary,1449119,Zoe,,Pittwater,-33.61741244456304,151.33377414511847,Entire home/apt,330,7,16,2017-02-23,0.40,1,325
10141270,Tranquil bohemian home by the beach,52044116,Jennifer,,Pittwater,-33.629343482033654,151.33620570473775,Entire home/apt,219,2,2,2016-01-03,0.13,1,0
15573885,NEWPORT BEACH Luxury Living,100319954,Helen,,Pittwater,-33.652787695116885,151.31987018236737,Entire home/apt,280,7,1,2017-01-05,0.33,1,50
6092950,Spacious modern room for rent,31501956,Natalie,,Pittwater,-33.66080937711566,151.3202695541309,Entire home/apt,120,2,12,2017-03-04,0.61,1,355
15451635,Pittwater waterfront - 10 minutes to Palm Beach,52694438,Rick,,Pittwater,-33.64206667306134,151.2937075396539,Entire home/apt,1500,3,0,,,1,351
8454503,Charming Beach Pad at Avalon,44358127,Jacqui,,Pittwater,-33.636825204153624,151.33133316816878,Entire home/apt,160,2,21,2017-03-05,1.32,1,153
8257918,Spacious resort style apartment,43549231,Johanna,,Pittwater,-33.687838708278626,151.29522792948808,Entire home/apt,194,4,14,2017-02-23,0.82,1,362
852229,"Sea La Vie Beach House, Palm Beach",4449501,Wendy,,Pittwater,-33.615125981869944,151.3278915642565,Entire home/apt,1000,7,9,2015-01-18,0.18,2,0
12058917,Relaxed and spacious coastal home,42816963,Jason,,Pittwater,-33.64428041204547,151.31919313306696,Entire home/apt,393,5,2,2017-01-28,0.66,1,96
14614860,Beach Bungalow in North Avalon,22701264,Hannah,,Pittwater,-33.62896696820673,151.33654755680902,Entire home/apt,495,2,6,2017-03-12,0.99,1,321
4325710,Pittwater Paradise Holiday Home,22462144,Lindsay & Sharyn,,Pittwater,-33.65496890112919,151.30632530236022,Entire home/apt,950,7,0,,,1,0
9098307,Spacious Family Beach House,47434027,Laura,,Pittwater,-33.6908596353264,151.30257058066556,Entire home/apt,524,3,1,2016-03-19,0.08,1,0
12256225,Agave - Newport NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.64844277864738,151.3233428177111,Entire home/apt,750,2,2,2016-10-29,0.32,34,359
4260877,Overlooking Newport beach.,6551607,Paul,,Pittwater,-33.65411636340774,151.31559172964577,Entire home/apt,240,1,36,2017-03-24,1.34,1,237
853445,Amazing BEACH/BUSH RETREAT,4456548,Michelle,,Pittwater,-33.64784553405164,151.3200666005376,Entire home/apt,145,2,133,2017-03-25,2.90,1,351
12977708,"A Private, Sunny Resort Style Home",15324913,Jill And Mick,,Pittwater,-33.620359583637324,151.3351099552894,Entire home/apt,350,3,10,2017-03-19,1.64,1,301
3167854,Comfy Bedroom by the Lake,16067918,Michelli,,Pittwater,-33.709220806606254,151.29557704763343,Private room,66,2,7,2017-02-10,0.53,2,364
